Order_Date,customer_id,Sales,Category,Device,Country,State
2023-03-01,CUST_0182,474.91,Sports,Mobile,United States,New York
2023-03-01,CUST_0111,33.59,Home & Garden,Tablet,Australia,New York
2023-03-01,CUST_0407,365.89,Books,Tablet,United States,New York
2023-03-01,CUST_0598,249.27,Clothing,Mobile,United States,California
2023-03-01,CUST_0069,84.98,Electronics,Tablet,United States,Florida
2023-03-01,CUST_0281,158.69,Home & Garden,Tablet,Canada,Texas
2023-03-01,CUST_0630,412.5,Clothing,Desktop,Australia,Queensland
2023-03-01,CUST_0167,36.45,Sports,Desktop,United Kingdom,New York
2023-03-01,CUST_0489,407.49,Electronics,Mobile,Canada,New South Wales
2023-03-01,CUST_0337,107.86,Home & Garden,Desktop,United States,Queensland
2023-03-01,CUST_0522,178.71,Sports,Tablet,United States,Texas
2023-03-01,CUST_0500,226.61,Books,Mobile,United States,British Columbia
2023-03-01,CUST_0685,147.53,Home & Garden,Tablet,Australia,New South Wales
2023-03-01,CUST_0250,439.45,Toys,Desktop,United Kingdom,New York
2023-03-01,CUST_0585,35.11,Home & Garden,Desktop,United States,Queensland
2023-03-01,CUST_0787,416.26,Clothing,Tablet,Australia,California
2023-03-02,CUST_0261,375.44,Sports,Desktop,United States,New South Wales
2023-03-02,CUST_0173,393.85,Clothing,Desktop,Canada,New York
2023-03-02,CUST_0651,162.47,Sports,Mobile,United States,British Columbia
2023-03-02,CUST_0053,240.89,Electronics,Desktop,United Kingdom,British Columbia
2023-03-02,CUST_0542,83.06,Electronics,Mobile,Australia,British Columbia
2023-03-02,CUST_0374,194.3,Clothing,Desktop,Canada,New York
2023-03-02,CUST_0180,17.98,Beauty,Tablet,Australia,Queensland
2023-03-02,CUST_0480,64.62,Electronics,Tablet,United States,British Columbia
2023-03-02,CUST_0309,215.16,Home & Garden,Mobile,Australia,California
2023-03-02,CUST_0553,217.26,Sports,Tablet,United States,New South Wales
2023-03-02,CUST_0207,255.42,Toys,Tablet,Canada,British Columbia
2023-03-02,CUST_0153,58.28,Sports,Tablet,Canada,British Columbia
2023-03-02,CUST_0697,205.43,Books,Tablet,Canada,Florida
2023-03-02,CUST_0426,348.72,Sports,Mobile,Canada,Queensland
2023-03-02,CUST_0739,248.94,Sports,Desktop,United States,New South Wales
2023-03-02,CUST_0190,336.19,Clothing,Tablet,Australia,New York
2023-03-02,CUST_0586,409.15,Electronics,Tablet,Australia,California
2023-03-02,CUST_0167,456.9,Electronics,Desktop,United Kingdom,Ontario
2023-03-03,CUST_0557,307.91,Home & Garden,Desktop,Canada,Queensland
2023-03-03,CUST_0160,485.37,Sports,Tablet,United Kingdom,Ontario
2023-03-03,CUST_0280,209.52,Electronics,Mobile,Canada,Ontario
